crossing time (s)	slope (V/s)	crossing number
4260.605038	1.662152	4065
4261.666280	1.735675	4066
4262.648454	1.835030	4067
4263.708884	1.595896	4068
4264.692456	1.703406	4069
4265.752870	1.666467	4070
4266.737020	1.621827	4071
4267.795949	1.852140	4072
4268.780618	1.898222	4073
4269.838313	1.666734	4074
4270.824762	1.710431	4075
4271.882322	1.789359	4076
4272.867917	1.759204	4077
4273.926374	1.734186	4078
4274.912130	1.693435	4079
4275.969205	1.839207	4080
4276.954809	1.912134	4081
4278.012707	1.718751	4082
4278.999312	1.816220	4083
4280.055766	1.792469	4084
4281.043615	1.914946	4085
4282.097335	1.837063	4086
4283.089876	1.967833	4087
4284.138477	1.777264	4088
4285.135982	2.007861	4089
4286.179773	1.932046	4090
4287.182132	1.966757	4091
4288.221785	1.787559	4092
4289.227958	2.016379	4093
4290.263414	1.885456	4094
4291.272945	1.931505	4095
4292.306651	1.835718	4096
4293.317780	2.058243	4097
4294.349132	1.876243	4098
4295.361401	2.025336	4099
4296.392287	1.922095	4100
4297.405082	2.068938	4101
4298.436162	1.920853	4102
4299.448552	1.997364	4103
4300.480053	1.919667	4104
4301.491588	2.123785	4105
4302.524002	1.942613	4106
4303.534539	2.071125	4107
4304.568527	1.877400	4108
4305.577045	2.145678	4109
4306.612664	1.925865	4110
4307.618946	2.115470	4111
4308.658503	2.020066	4112
4309.660138	2.268448	4113
4310.704097	1.907356	4114
4311.701272	2.133158	4115
4312.750219	2.043067	4116
4313.742893	2.118282	4117
4314.795237	2.037434	4118
4315.785011	2.021794	4119
4316.840488	2.057218	4120
4317.828161	2.087824	4121
4318.884840	2.081258	4122
4319.871798	2.101169	4123
4320.927782	2.179407	4124
4321.916126	2.140108	4125
4322.971462	2.055731	4126
4323.959820	2.183676	4127
4325.014619	2.121035	4128
4326.003179	2.107722	4129
4327.059264	2.157581	4130
4328.047014	2.166814	4131
4329.102763	2.164586	4132
4330.091056	2.187044	4133
4331.146176	2.195182	4134
4332.134454	2.224641	4135
4333.189717	2.155041	4136
4334.178101	2.264013	4137
4335.231966	2.254056	4138
4336.223376	2.336520	4139
4337.273859	2.152095	4140
4338.268636	2.326319	4141
4339.316188	2.228894	4142
4340.314391	2.423193	4143
4341.357320	2.220927	4144
4342.360004	2.410979	4145
4343.400206	2.294098	4146
4344.405804	2.413642	4147
4345.441753	2.245616	4148
4346.450845	2.483949	4149
4347.484721	2.298172	4150
4348.495177	2.451188	4151
4349.527720	2.265519	4152
4350.539369	2.395065	4153
4351.571052	2.410747	4154
4352.583049	2.509507	4155
4353.614603	2.293998	4156
4354.626704	2.427931	4157
4355.658476	2.334096	4158
4356.670177	2.527586	4159
4357.702161	2.443331	4160
4358.712916	2.461712	4161
4359.746629	2.319469	4162
4360.755672	2.574531	4163
4361.791508	2.320752	4164
4362.797666	2.507428	4165
4363.836965	2.503899	4166
4364.839712	2.567851	4167
4365.882066	2.465638	4168
4366.880847	2.547483	4169
4367.927302	2.419737	4170
4368.922909	2.621206	4171
4369.972676	2.394361	4172
4370.965970	2.580539	4173
4372.017362	2.404324	4174
4373.009305	2.614040	4175
4374.061338	2.396717	4176
4375.052922	2.531811	4177
4376.104837	2.479389	4178
4377.096935	2.648483	4179
4378.148591	2.630828	4180
4379.140485	2.583528	4181
4380.192157	2.500757	4182
4381.184573	2.640640	4183
4382.235578	2.578819	4184
4383.229155	2.566943	4185
4384.279787	2.550506	4186
4385.272000	2.607296	4187
4386.322938	2.600052	4188
4387.316099	2.643263	4189
4388.366261	2.629096	4190
4389.359984	2.673070	4191
4390.408813	2.635923	4192
4391.404590	2.775505	4193
4392.451318	2.650895	4194
4393.450169	2.736404	4195
4394.493225	2.677793	4196
4395.495730	2.768187	4197
4396.535480	2.640649	4198
4397.541066	2.823061	4199
4398.578101	2.710552	4200
4399.585812	2.773356	4201
4400.620568	2.730272	4202
4401.629809	2.761243	4203
4402.663160	2.764794	4204
4403.674892	2.888627	4205
4404.706450	2.742653	4206
4405.718988	2.815188	4207
4406.749938	2.710179	4208
4407.762720	2.834994	4209
4408.794065	2.794470	4210
4409.806162	2.893339	4211
4410.837760	2.842071	4212
4411.849361	2.908888	4213
4412.882181	2.761553	4214
4413.892939	2.940760	4215
4414.926956	2.807683	4216
4415.934823	2.948665	4217
4416.971566	2.846280	4218
4417.976610	2.965135	4219
4419.016601	2.817226	4220
4420.018936	2.984481	4221
4421.062070	2.807874	4222
4422.061147	2.999242	4223
4423.107244	2.878394	4224
4424.103687	2.977735	4225
4425.151530	2.854720	4226
4426.146724	2.893760	4227
4427.196100	2.784272	4228
4428.190429	3.038711	4229
4429.239904	2.892683	4230
4430.234099	2.870864	4231
4431.283710	2.916624	4232
4432.278005	3.006572	4233
4433.327259	2.951916	4234
4434.321948	3.029665	4235
4435.371238	2.983935	4236
4436.365701	3.006585	4237
4437.414727	2.943792	4238
4438.409576	3.093918	4239
4439.458141	2.960967	4240
4440.452902	2.993278	4241
4441.501604	3.123180	4242
4442.497168	3.084983	4243
4443.544926	3.062270	4244
4444.541801	3.119309	4245
4445.586962	3.099710	4246
4446.586373	3.168231	4247
4447.629833	3.076811	4248
4448.631716	3.215115	4249
4449.672116	3.106476	4250
4450.677038	3.224834	4251
4451.714374	3.093770	4252
4452.722010	3.209907	4253
4453.757013	3.167328	4254
4454.766889	3.239588	4255
4455.799795	3.112456	4256
4456.811489	3.254984	4257
4457.843262	3.193396	4258
4458.855621	3.267118	4259
4459.886535	3.158357	4260
4460.899328	3.228149	4261
4461.930390	3.218650	4262
4462.942863	3.409164	4263
4463.974406	3.195771	4264
4464.985909	3.280798	4265
4466.018746	3.244490	4266
4467.029155	3.409933	4267
4468.063313	3.292910	4268
4469.071488	3.379833	4269
4470.107896	3.247652	4270
4471.114013	3.456394	4271
