time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
5021.391247	3.607653	1.609558	2.241393	201
5022.426610	3.849834	1.681491	2.289537	202
5023.439186	4.116025	1.695792	2.427200	203
5024.466323	3.768443	1.679333	2.244011	204
5025.470652	4.040209	1.690530	2.389907	205
5026.520430	3.575819	1.676295	2.133169	206
5027.522333	3.946973	1.699513	2.322414	207
5028.553405	3.659427	1.681806	2.175891	208
5029.567399	3.903585	1.684982	2.316694	209
5030.593769	3.989599	1.694503	2.354436	210
5031.605149	4.028304	1.679142	2.399025	211
5032.637274	3.904907	1.697008	2.301054	212
5033.653412	3.725839	1.685004	2.211175	213
5034.670810	4.078748	1.694694	2.406776	214
5035.704156	3.873649	1.701285	2.276897	215
5036.713136	3.956883	1.629436	2.428377	216
5037.731464	3.740000	1.678607	2.228038	217
5038.773126	3.850782	1.690925	2.277322	218
5039.769796	3.796404	1.650942	2.299538	219
5040.812579	3.872863	1.667575	2.322452	220
5041.817419	4.122116	1.697069	2.428963	221
5042.848812	3.841697	1.689595	2.273739	222
5043.860807	3.908125	1.689150	2.313663	223
5044.892538	3.912963	1.679457	2.329898	224
5045.917546	3.858805	1.699352	2.270751	225
5046.932618	4.192069	1.694289	2.474235	226
5047.945808	3.825207	1.655169	2.311067	227
5048.975721	3.905550	1.681183	2.323096	228
5049.989487	3.815787	1.698385	2.246715	229
5051.024964	3.951565	1.685810	2.344015	230
5052.021589	4.066888	1.697160	2.396291	231
5053.071994	3.898444	1.686973	2.310911	232
5054.067056	3.962229	1.691941	2.341825	233
5055.101564	3.871020	1.687594	2.293809	234
5056.125340	3.908467	1.692914	2.308722	235
5057.146740	3.991466	1.682177	2.372797	236
5058.162431	3.855734	1.695629	2.273925	237
5059.179058	4.020937	1.688583	2.381249	238
5060.213644	3.752830	1.667202	2.250975	239
5061.222193	4.130779	1.691325	2.442333	240
5062.247702	3.811017	1.685676	2.260824	241
5063.273325	4.205605	1.696255	2.479347	242
5064.287956	3.823026	1.678239	2.277999	243
5065.315182	4.188693	1.699906	2.464074	244
5066.330505	3.739026	1.673031	2.234881	245
5067.350373	4.116371	1.649394	2.495687	246
5068.382058	3.759521	1.702202	2.208622	247
5069.392131	4.132651	1.698594	2.432984	248
5070.417870	3.876781	1.684754	2.301096	249
5071.433836	4.195160	1.692160	2.479175	250
5072.461642	3.875350	1.691481	2.291099	251
5073.475285	4.033582	1.655623	2.436293	252
5074.509686	3.912622	1.685828	2.320891	253
5075.521840	4.043543	1.691188	2.390948	254
5076.540681	4.130997	1.693081	2.439929	255
5077.577057	4.010328	1.691211	2.371276	0
5078.576103	4.107988	1.654275	2.483256	1
5079.617370	3.876667	1.687639	2.297095	2
5080.622978	4.156547	1.702034	2.442106	3
5081.661219	3.979293	1.695902	2.346417	4
5082.660413	4.075452	1.693127	2.407056	5
5083.706248	4.194262	1.702249	2.463953	6
5084.710085	3.943369	1.692849	2.329427	7
5085.732827	4.285571	1.695524	2.527578	8
5086.765921	3.886343	1.694225	2.293876	9
5087.773266	4.270420	1.695593	2.518540	10
5088.799249	4.013415	1.689518	2.375479	11
5089.828771	4.162682	1.692065	2.460119	12
5090.834982	4.081780	1.636847	2.493685	13
5091.869774	4.009473	1.681575	2.384356	14
5092.878189	4.260399	1.697811	2.509348	15
5093.915990	3.938474	1.682847	2.340364	16
5094.911782	4.139161	1.699088	2.436107	17
5095.958166	4.022400	1.659294	2.424164	18
5096.965417	4.137670	1.689128	2.449590	19
5098.003858	4.110317	1.678502	2.448802	20
5099.012479	3.908644	1.668540	2.342554	21
5100.042544	4.301522	1.691597	2.542876	22
5101.050824	3.978847	1.691759	2.351900	23
5102.081937	4.321932	1.660795	2.602328	24
5103.095093	3.951440	1.678744	2.353808	25
5104.115142	4.273046	1.678688	2.545468	26
5105.146194	3.912246	1.655712	2.362879	27
5106.164573	4.284135	1.696656	2.525047	28
5107.187935	3.951771	1.684018	2.346633	29
5108.207453	4.341116	1.698066	2.556506	30
5109.221770	4.045442	1.694968	2.386737	31
5110.242955	4.276955	1.681078	2.544173	32
5111.263680	3.983256	1.664533	2.393017	33
5112.289357	4.293777	1.689207	2.541889	34
5113.301239	3.987770	1.649097	2.418154	35
5114.335614	4.180334	1.679839	2.488532	36
5115.348869	4.184648	1.684619	2.484033	37
5116.381855	4.155595	1.683278	2.468751	38
5117.380315	4.268290	1.688511	2.527842	39
5118.433595	4.048419	1.682491	2.406205	40
5119.423980	4.320373	1.694370	2.549841	41
5120.466236	4.133275	1.694138	2.439751	42
5121.477467	4.290665	1.669154	2.570562	43
5122.511764	4.188663	1.696457	2.469065	44
5123.517461	4.057776	1.632970	2.484906	45
5124.541845	4.250309	1.689542	2.515657	46
5125.572475	4.237279	1.706098	2.483608	47
5126.580438	4.386425	1.693450	2.590230	48
5127.607402	3.972709	1.690705	2.349735	49
5128.625398	4.354520	1.697930	2.564605	50
5129.652122	4.010729	1.649020	2.432190	51
5130.673992	4.131969	1.644931	2.511941	52
5131.682508	4.230991	1.661581	2.546364	53
5132.729189	4.154270	1.662614	2.498637	54
5133.729081	4.314848	1.694365	2.546587	55
5134.765924	4.133837	1.644892	2.513136	56
5135.770470	4.343452	1.688929	2.571720	57
5136.807234	3.956591	1.640891	2.411246	58
5137.805656	4.262194	1.653862	2.577115	59
5138.856322	4.175849	1.686489	2.476061	60
5139.851242	4.448687	1.690973	2.630844	61
5140.888991	4.015761	1.651055	2.432240	62
5141.901127	4.312428	1.687969	2.554802	63
