time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7057.126835	289.952454	0.668312	0.233486	135
7059.165716	290.463257	0.664892	0.233001	137
7061.207853	291.168518	0.663553	0.232943	139
7063.250072	291.168762	0.665786	0.232307	141
7065.292415	290.961792	0.667078	0.231424	143
7067.336317	291.014587	0.668499	0.231305	145
7069.380113	291.014496	0.669067	0.230362	147
7071.424983	290.191345	0.669335	0.228987	149
7073.475219	288.750610	0.668589	0.227534	151
7075.518786	288.162445	0.675750	0.228924	153
7077.555007	289.905579	0.682984	0.230291	155
7079.593240	291.031158	0.675794	0.227139	157
7081.643400	289.307159	0.671012	0.223885	159
7083.690553	287.950226	0.679274	0.226517	161
7085.726078	289.775177	0.688727	0.228607	163
7087.765184	290.834167	0.682059	0.225431	165
7089.814708	289.304352	0.679664	0.223362	167
7091.862418	287.957916	0.682884	0.223964	169
7093.902484	288.351105	0.690391	0.224710	171
7095.940592	289.837006	0.690654	0.223400	173
7097.979518	290.372528	0.688197	0.222169	175
7100.022998	290.152283	0.687798	0.221334	177
7102.067024	289.968384	0.689669	0.220766	179
7104.110685	289.742035	0.691615	0.220192	181
7106.152626	289.532196	0.694037	0.219648	183
7108.195449	289.502319	0.694747	0.219260	185
7110.237847	289.679443	0.694188	0.218357	187
7112.280465	289.665894	0.694291	0.217354	189
7114.326172	289.238861	0.694819	0.216581	191
7116.374046	288.573425	0.695573	0.216838	193
7118.421228	288.251923	0.698331	0.217884	195
7120.462144	288.423340	0.705046	0.216063	197
7122.497533	288.629456	0.705455	0.213791	199
7124.538497	288.972046	0.698975	0.213977	201
7126.585360	288.636627	0.698882	0.213710	203
7128.635861	287.966431	0.702017	0.214816	205
7130.678150	288.008698	0.709204	0.214093	207
7132.713945	288.207123	0.712609	0.211873	209
7134.753692	288.700500	0.707525	0.211536	211
7136.795731	289.088470	0.706191	0.211055	213
7138.840326	288.793518	0.708563	0.210109	215
7140.886260	288.352234	0.710169	0.209148	217
7142.930573	288.015961	0.711634	0.208527	219
7144.974079	287.765869	0.712484	0.207778	221
7147.017258	287.736847	0.713276	0.206946	223
7149.058872	287.960114	0.715491	0.206585	225
7151.100293	288.316956	0.716954	0.206255	227
7153.140579	288.859772	0.717630	0.206184	229
7155.181756	289.055389	0.716689	0.205454	231
7157.226137	288.620819	0.715677	0.204211	233
7159.273340	287.790680	0.716066	0.203245	235
7161.320730	286.748322	0.717719	0.203605	237
7163.364198	286.319092	0.723116	0.204224	239
7165.402758	287.394775	0.729341	0.204439	241
7167.440788	288.697723	0.728273	0.203269	243
7169.482251	288.822205	0.724767	0.201835	245
7171.527872	288.123474	0.725751	0.201069	247
7173.575168	287.357635	0.726370	0.200768	249
7175.621155	286.678680	0.727232	0.200983	251
7177.664928	286.403381	0.728731	0.200813	253
7179.707149	286.436890	0.730534	0.200199	255
7181.749512	286.551788	0.731423	0.199339	1
7183.792593	286.579834	0.732185	0.199012	3
7185.835936	286.642731	0.733352	0.199255	5
7187.879716	286.653046	0.733430	0.198852	7
7189.922448	286.810699	0.735856	0.198561	9
7191.962905	286.989014	0.740038	0.197493	11
7194.001478	287.173248	0.742795	0.196031	13
7196.041041	287.428986	0.740298	0.195297	15
7198.083188	287.729645	0.737601	0.194873	17
7200.128099	287.512695	0.739178	0.194405	19
7202.175442	286.959320	0.740137	0.193943	21
7204.221938	286.631897	0.741329	0.194972	23
7206.265352	286.605835	0.744365	0.194788	25
7208.305928	286.689667	0.747942	0.193219	27
7210.344906	286.840912	0.748801	0.191831	29
7212.384966	287.049957	0.747190	0.191243	31
7214.426605	287.349609	0.746692	0.191006	33
7216.468970	287.508270	0.746292	0.190314	35
7218.511726	287.532471	0.745985	0.189244	37
7220.554966	287.561066	0.746710	0.188418	39
7222.598218	287.443207	0.747684	0.188115	41
7224.642392	287.126678	0.748130	0.187393	43
7226.688156	286.679291	0.749274	0.187013	45
7228.734370	286.110229	0.749852	0.186728	47
7230.779379	285.517273	0.749936	0.186585	49
7232.821909	285.361420	0.753212	0.186465	51
7234.861725	285.889709	0.758115	0.186136	53
7236.901504	286.842804	0.759679	0.185502	55
7238.941589	287.496277	0.758401	0.184851	57
7240.983223	287.549622	0.756394	0.184080	59
7243.027176	287.199127	0.756719	0.183326	61
7245.072379	286.758606	0.758218	0.182758	63
7247.117541	286.329285	0.759713	0.182887	65
7249.162552	285.967041	0.761313	0.183206	67
7251.206632	285.776978	0.763220	0.183793	69
7253.250430	285.703766	0.764566	0.183928	71
7255.293651	285.679993	0.765638	0.183812	73
7257.335951	285.740356	0.767504	0.183450	75
7259.378226	285.846680	0.771028	0.183437	77
7261.419614	285.949890	0.773579	0.182681	79
7263.460286	286.035431	0.774902	0.181591	81
7265.500388	286.200714	0.774169	0.180892	83
7267.540969	286.500946	0.772499	0.180376	85
7269.583288	286.676758	0.771036	0.179550	87
7271.627026	286.694672	0.771403	0.178699	89
7273.671912	286.395691	0.772232	0.177849	91
7275.717905	286.009186	0.773194	0.177774	93
7277.763484	285.615326	0.774377	0.178220	95
7279.808143	285.467194	0.774508	0.178216	97
7281.851428	285.483093	0.776159	0.178149	99
7283.892953	285.562042	0.778603	0.177194	101
7285.933621	285.720673	0.780430	0.176326	103
7287.974596	285.761017	0.780462	0.175540	105
7290.015928	285.849609	0.780651	0.174929	107
7292.058266	285.945007	0.780773	0.174303	109
7294.101134	285.930481	0.781683	0.173923	111
7296.144531	285.821320	0.782140	0.173320	113
7298.188932	285.574585	0.781933	0.172862	115
7300.234272	285.214569	0.782524	0.172882	117
7302.278717	284.993774	0.782187	0.172898	119
7304.322428	284.703094	0.781792	0.172226	121
7306.364658	284.558441	0.783023	0.171534	123
7308.406249	284.765350	0.786086	0.171214	125
7310.446709	285.324738	0.788845	0.170590	127
7312.487355	285.901611	0.789113	0.169698	129
7314.528171	286.424500	0.788570	0.169594	131
7316.569905	286.550842	0.788038	0.168708	133
7318.612471	286.486176	0.788222	0.168422	135
7320.655967	286.284576	0.788822	0.167703	137
7322.699502	286.048767	0.791475	0.167678	139
7324.743541	285.787354	0.792425	0.166979	141
7326.787792	285.555969	0.794005	0.166708	143
7328.831708	285.414520	0.794776	0.166527	145
7330.875436	285.281647	0.794482	0.165972	147
7332.918550	285.193176	0.793732	0.165212	149
