time (s)	coil I (A)	last det (V)	int current (uC)
10141.791742	0.878518	0.049741	425.202728
10141.792683	1.317246	0.049741	1664.731323
10141.793616	1.320308	0.049741	2896.578369
10141.794515	1.293387	0.049741	4059.333496
10141.795447	1.264028	0.049741	5237.407715
10141.796385	1.235995	0.049741	6396.770996
10141.797305	1.209038	0.049741	7509.085937
10141.798211	0.949600	0.049741	8369.422852
10141.799173	0.130854	0.049741	8495.304687
10141.800110	0.083320	0.049741	8573.375977
10141.801024	0.083427	0.049741	8649.627930
10141.801915	0.083386	0.049741	8723.924805
10141.802863	0.083445	0.049741	8803.030273
10141.803789	0.083412	0.049741	8880.269531
10141.804689	0.083452	0.049741	8955.375977
10141.805615	0.083445	0.049741	9032.645508
10141.806556	0.083412	0.049741	9111.135742
10141.807468	0.083470	0.049741	9187.260742
10142.748121	0.874069	0.058631	393.330841
10142.749019	1.311973	0.058631	1571.482300
10142.749912	1.323127	0.058631	2753.035156
10142.750854	1.295900	0.058631	3973.772705
10142.751776	1.267057	0.058631	5141.999023
10142.752702	1.239236	0.058631	6289.531250
10142.753600	1.212385	0.058631	7378.253418
10142.754557	1.037911	0.058631	8371.535156
10142.755459	0.172819	0.058631	8527.417969
10142.756378	0.083438	0.058631	8604.096680
10142.757284	0.083448	0.058631	8679.701172
10142.758231	0.083427	0.058631	8758.706055
10142.759138	0.083562	0.058631	8834.497070
10142.760023	0.083551	0.058631	8908.439453
10142.760963	0.083544	0.058631	8986.970703
10142.761880	0.083478	0.058631	9063.519531
10142.762791	0.083522	0.058631	9139.607422
10142.763678	0.083503	0.058631	9213.674805
10143.833566	0.873457	0.049495	390.435272
10143.834486	1.312815	0.049495	1598.225098
10143.835384	1.322629	0.049495	2785.946289
10143.836329	1.295442	0.049495	4010.138916
10143.837243	1.266617	0.049495	5167.827148
10143.838147	1.239195	0.049495	6288.059570
10143.839047	1.212664	0.049495	7379.457031
10143.839995	1.042958	0.049495	8368.180664
10143.840914	0.168878	0.049495	8523.379883
10143.841820	0.083489	0.049495	8599.020508
10143.842707	0.083452	0.049495	8673.042969
10143.843649	0.083562	0.049495	8751.758789
10143.844556	0.083383	0.049495	8827.386719
10143.845444	0.083467	0.049495	8901.504883
10143.846383	0.083503	0.049495	8979.915039
10143.847290	0.083551	0.049495	9055.696289
10143.848192	0.083529	0.049495	9131.039062
10143.849084	0.083529	0.049495	9205.546875
10144.795105	0.868257	0.062708	399.398163
10144.796058	1.317111	0.062708	1654.604614
10144.796980	1.320758	0.062708	2872.343750
10144.797910	1.293278	0.062708	4075.091797
10144.798815	1.265010	0.062708	5219.925781
10144.799752	1.236434	0.062708	6378.464844
10144.800699	1.208976	0.062708	7523.365234
10144.801600	0.973751	0.062708	8400.714844
10144.802526	0.140493	0.062708	8530.811523
10144.803461	0.083265	0.062708	8608.665039
10144.804371	0.083423	0.062708	8684.580078
10144.805265	0.083386	0.062708	8759.126953
10144.806216	0.083394	0.062708	8838.434570
10144.807144	0.083463	0.062708	8915.888672
10144.808043	0.083445	0.062708	8990.905273
10144.808957	0.083368	0.062708	9067.103516
10144.809892	0.083481	0.062708	9145.158203
10144.810814	0.083361	0.062708	9222.016602
10145.875455	0.890182	0.050566	428.177490
10145.876360	1.314880	0.050566	1618.144287
10145.877255	1.322087	0.050566	2801.412598
10145.878179	1.294915	0.050566	3997.913574
10145.879129	1.265281	0.050566	5199.930664
10145.880059	1.237390	0.050566	6350.703613
10145.880964	1.210708	0.050566	7446.394531
10145.881916	0.981108	0.050566	8380.410156
10145.882866	0.140468	0.050566	8513.854492
10145.883766	0.083320	0.050566	8588.842773
10145.884682	0.083423	0.050566	8665.257812
10145.885609	0.083500	0.050566	8742.662109
10145.886520	0.083474	0.050566	8818.707031
10145.887408	0.083536	0.050566	8892.887695
10145.888349	0.083379	0.050566	8971.347656
10145.889280	0.083489	0.050566	9049.076172
10145.890189	0.083514	0.050566	9124.991211
10145.891099	0.083463	0.050566	9200.942383
10146.847236	0.920720	0.059602	457.597961
10146.848149	1.316752	0.059602	1659.792236
10146.849075	1.320945	0.059602	2882.987061
10146.849969	1.293841	0.059602	4039.681396
10146.850933	1.264222	0.059602	5258.391602
10146.851847	1.236596	0.059602	6388.639648
10146.852744	1.210096	0.059602	7474.096191
10146.853683	0.988715	0.059602	8402.499023
10146.854599	0.150410	0.059602	8540.274414
10146.855523	0.083339	0.059602	8617.279297
10146.856411	0.083423	0.059602	8691.358398
10146.857341	0.083445	0.059602	8768.961914
10146.858242	0.083397	0.059602	8844.102539
10146.859166	0.083441	0.059602	8921.202148
10146.860053	0.083412	0.059602	8995.188477
10146.861008	0.083427	0.059602	9074.860352
10146.861911	0.083408	0.059602	9150.177734
10146.862800	0.083459	0.059602	9224.373047
10147.917269	0.871241	0.053696	391.187408
10147.918169	1.312024	0.053696	1572.009033
10147.919075	1.322307	0.053696	2770.019287
10147.920025	1.295222	0.053696	4000.480469
10147.920939	1.266464	0.053696	5158.028320
10147.921843	1.239064	0.053696	6278.142090
10147.922779	1.212001	0.053696	7412.574707
10147.923696	1.043196	0.053696	8369.185547
10147.924616	0.170475	0.053696	8526.022461
10147.925505	0.083540	0.053696	8600.290039
10147.926450	0.083507	0.053696	8679.204102
10147.927360	0.083489	0.053696	8755.178711
10147.928247	0.083595	0.053696	8829.327148
10147.929167	0.083547	0.053696	8906.190430
10147.930087	0.083588	0.053696	8983.090820
10147.930999	0.083511	0.053696	9059.252930
10147.931900	0.083606	0.053696	9134.582031
10147.932822	0.083566	0.053696	9211.629883
10148.894152	0.857948	0.058120	374.065338
10148.895043	1.310519	0.058120	1541.737549
10148.896032	1.321231	0.058120	2848.434570
10148.896973	1.293395	0.058120	4065.519043
10148.897874	1.265306	0.058120	5205.560059
10148.898806	1.237152	0.058120	6358.585937
10148.899752	1.209386	0.058120	7502.665039
10148.900676	0.973612	0.058120	8402.282227
10148.901570	0.147590	0.058120	8534.227539
10148.902524	0.083302	0.058120	8613.697266
10148.903451	0.083463	0.058120	8691.067383
10148.904350	0.083456	0.058120	8766.093750
10148.905265	0.083375	0.058120	8842.381836
10148.906206	0.083419	0.058120	8920.878906
10148.907117	0.083405	0.058120	8996.860352
10148.908013	0.083405	0.058120	9071.590820
10148.908951	0.083536	0.058120	9149.948242
10148.909890	0.083445	0.058120	9228.302734
10149.959147	0.877965	0.055376	405.619873
10149.960038	1.312449	0.055376	1575.011719
10149.960974	1.321868	0.055376	2812.279785
10149.961912	1.294310	0.055376	4026.342773
10149.962836	1.265504	0.055376	5195.668457
10149.963734	1.238093	0.055376	6307.476074
10149.964684	1.210441	0.055376	7457.394531
10149.965621	0.992164	0.055376	8387.052734
10149.966529	0.151014	0.055376	8524.173828
10149.967446	0.083401	0.055376	8600.652344
10149.968386	0.083386	0.055376	8679.035156
10149.969311	0.083496	0.055376	8756.269531
10149.970213	0.083339	0.055376	8831.441406
10149.971144	0.083485	0.055376	8909.166016
10149.972066	0.083430	0.055376	8986.088867
10149.972992	0.083463	0.055376	9063.375977
10149.973885	0.083525	0.055376	9137.963867
10149.974805	0.083489	0.055376	9214.773437
10150.940104	0.874728	0.054953	383.130768
10150.941076	1.316766	0.054953	1663.027588
10150.941998	1.320817	0.054953	2880.820557
10150.942900	1.293944	0.054953	4047.958008
10150.943837	1.265182	0.054953	5233.433594
10150.944759	1.236998	0.054953	6373.946289
10150.945685	1.209921	0.054953	7494.333008
10150.946583	0.993852	0.054953	8386.812500
10150.947546	0.141526	0.054953	8523.101562
10150.948463	0.083346	0.054953	8599.530273
10150.949353	0.083529	0.054953	8673.871094
10150.950278	0.083368	0.054953	8750.986328
10150.951199	0.083405	0.054953	8827.801758
10150.952119	0.083529	0.054953	8904.648437
10150.953010	0.083485	0.054953	8979.033203
10150.953961	0.083474	0.054953	9058.416992
10150.954860	0.083522	0.054953	9133.502930
10150.955772	0.083430	0.054953	9209.590820
10152.006163	0.912488	0.055868	469.931213
10152.007082	1.317517	0.055868	1680.729492
10152.007984	1.320546	0.055868	2871.861816
10152.008882	1.293604	0.055868	4033.517822
10152.009820	1.264940	0.055868	5220.031738
10152.010723	1.237328	0.055868	6337.338867
10152.011615	1.211305	0.055868	7417.822754
10152.012539	1.016224	0.055868	8356.814453
10152.013478	0.157101	0.055868	8504.332031
10152.014393	0.083357	0.055868	8580.603516
10152.015289	0.083496	0.055868	8655.416016
10152.016231	0.083522	0.055868	8734.093750
10152.017141	0.083434	0.055868	8810.018555
10152.018036	0.083518	0.055868	8884.767578
10152.018929	0.083474	0.055868	8959.309570
10152.019865	0.083459	0.055868	9037.427734
10152.020769	0.083452	0.055868	9112.868164
10152.021659	0.083478	0.055868	9187.163086
10152.978942	0.900535	0.056959	438.560394
10152.979868	1.316807	0.056959	1657.923462
10152.980773	1.321315	0.056959	2853.713379
10152.981667	1.294486	0.056959	4010.983887
10152.982621	1.265109	0.056959	5217.897461
10152.983534	1.237533	0.056959	6347.765137
10152.984436	1.210752	0.056959	7439.863281
10152.985368	1.009369	0.056959	8380.594727
10152.986288	0.157896	0.056959	8525.858398
10152.987190	0.083386	0.056959	8601.073242
10152.988087	0.083419	0.056959	8675.900391
10152.989010	0.083536	0.056959	8753.004883
10152.989917	0.083478	0.056959	8828.718750
10152.990816	0.083496	0.056959	8903.781250
10152.991706	0.083445	0.056959	8978.046875
10152.992658	0.083544	0.056959	9057.580078
10152.993564	0.083551	0.056959	9133.277344
10152.994459	0.083522	0.056959	9208.029297
10154.061313	0.889307	0.050168	431.313690
10154.062253	1.316635	0.050168	1668.950195
10154.063177	1.320509	0.050168	2889.100586
10154.064070	1.293743	0.050168	4044.412598
10154.065007	1.264666	0.050168	5229.404297
10154.065945	1.236266	0.050168	6389.021484
10154.066853	1.209507	0.050168	7487.253906
10154.067778	0.975458	0.050168	8389.552734
10154.068718	0.138929	0.050168	8520.146484
10154.069637	0.083375	0.050168	8596.768555
10154.070535	0.083489	0.050168	8671.741211
10154.071472	0.083478	0.050168	8749.959961
10154.072411	0.083445	0.050168	8828.314453
10154.073329	0.083481	0.050168	8904.950195
10154.074217	0.083452	0.050168	8979.055664
10154.075159	0.083485	0.050168	9057.698242
10154.076082	0.083555	0.050168	9134.819336
10154.076982	0.083481	0.050168	9209.953125
10155.016648	0.865818	0.060738	378.362427
10155.017625	1.315979	0.060738	1664.073853
10155.018554	1.320557	0.060738	2890.871094
